Description,Comment,Designator,Footprint,Part number,Quantity

"Tantal Capacitor","100uF","C1","TANTAL_TYPE_D","T491D107M010AT","1"
"Capacitor","0.68uF","C2","C_0603","CC0603KRX7R7BB684","1"
"Capacitor","0.1uF","C3, C4, C5, C6, C7","C_0603","CC0603ZRY5V9BB104","5"
"Capacitor","10pF","C8, C9","C_0603","CC0603CRNPO9BN100","2"
"Green, Red 571nm Green, 631nm Red LED Indication - Discrete 2V Green, 2V Red 1206 (3216 Metric)","LTST-C235KGKRKT","D1","LED_LTST-C235KGKRKT","LTST-C235KGKRKT","1"
"Resistor","5.1k","R1, R2","R_0603","RC0603FR-075K1L","2"
"Resistor","150","R3, R4","R_0603","[NoParam], RC0603FR-07150RL","2"
"Resistor","100k","R5, R6","R_0603","RT0603DRD07100KL","2"
"Resistor","10k","R7","R_0603","RC0603JR-0710KL","1"
"Resistor","22","R8, R9","R_0603","RC0603FR-0722RL","2"
"Resistor","220","R10","R_0603","RC0603FR-07220RL","1"
"Resistor","20","R11, R12, R13","R_0603","RC0603FR-0720RL","3"
"17V Clamp 5A (8/20Aµs) Ipp Tvs Diode Surface Mount SOT-23-6","USBLC6-2SC6","U1","SOT95P280X145-6N","USBLC6-2SC6","1"
"ARMÆ CortexÆ-M3 STM32F1 Microcontroller IC 32-Bit 72MHz 64KB (64K x 8) FLASH 48-LQFP (7x7)","STM32F103C8T6","U2","QFP50P900X900X160-48N","STM32F103C8T6","1"
"800-mA 15-V linear voltage regulator","LM1117IMP-3.3/NOPB","VR1","VREG_LM1117IMP-3.3/NOPB","LM1117IMP-3.3","1"
"USB Connectors 24 Receptacle 1 8.94*7.3mm RoHS","TYPE-C","X1","HRO_TYPE-C-31-M-12","TYPE-C-31-M-12","1"
"Header, 5-Pin","SELFPROG","X3","PLS-5-2","KLS1-207-1-05-S","1"
"Header, 3-Pin","UART","X4","PLS-3-2","C2100-03ASGAS0R","1"
"Header, 5-Pin","TARGET_PROG","X5","PLS-5-2","KLS1-207-1-05-S","1"
"Crystal Oscillator","NX3225GD","Y1","NX3225GD","NX3225GD-8MHZ-STD-CRA-3","1"
